id,price,accommodates,room_type,bedrooms,beds,bathrooms,neighbourhood_group_cleansed,minimum_nights,instant_bookable,review_scores_rating,host_is_superhost,host_total_listings_count,availability_365,latitude,longitude,city
198744,243.0,2,Entire home/apt,1.0,1.0,1.0,Manhattan,30,False,4.83,False,3.0,88,40.78096,-73.98808,NYC
199733,142.0,2,Entire home/apt,0.0,1.0,1.0,Brooklyn,30,False,4.5,False,6.0,334,40.67635,-73.96108,NYC
200955,125.0,2,Entire home/apt,1.0,1.0,1.0,Manhattan,30,False,4.44,False,2.0,58,40.73125,-73.9811,NYC
116551,85.0,2,Entire home/apt,0.0,2.0,1.0,Manhattan,30,False,4.51,True,5.0,219,40.80384,-73.95123,NYC
118061,90.0,2,Entire home/apt,1.0,2.0,1.0,Brooklyn,30,False,4.83,True,1.0,286,40.68462,-73.92895,NYC
125163,99.0,2,Entire home/apt,1.0,1.0,1.0,Brooklyn,30,False,4.86,True,5.0,335,40.68595,-73.92923,NYC
135465,189.0,3,Entire home/apt,1.0,1.0,1.0,Brooklyn,30,False,4.82,False,3.0,184,40.68646,-73.97548,NYC
136493,266.0,4,Private room,2.0,2.0,2.5,Brooklyn,3,False,4.87,False,1.0,69,40.67497,-73.97796,NYC
140133,280.0,4,Entire home/apt,0.0,3.0,1.0,Brooklyn,30,False,4.93,False,2.0,97,40.71347,-73.96035,NYC
204065,398.0,8,Entire home/apt,2.0,5.0,1.0,Brooklyn,30,True,4.58,False,4.0,41,40.687,-73.96149,NYC
205485,185.0,2,Entire home/apt,1.0,1.0,1.0,Brooklyn,30,False,4.9,False,1.0,178,40.68339,-73.94034,NYC
206957,65.0,4,Private room,1.0,4.0,1.0,Brooklyn,30,False,4.61,False,2.0,87,40.5847,-73.94088,NYC
208889,89.0,4,Entire home/apt,2.0,2.0,1.0,Brooklyn,30,False,4.56,True,8.0,334,40.69049,-73.93212,NYC
209310,71.0,1,Private room,1.0,2.0,1.0,Queens,30,False,4.9,True,5.0,300,40.73933410644531,-73.9248046875,NYC
213330,220.0,2,Private room,1.0,1.0,2.0,Manhattan,5,False,4.96,True,4.0,292,40.71681594848633,-73.98969268798828,NYC
216080,183.0,2,Private room,1.0,1.0,1.0,Brooklyn,30,True,4.91,True,3.0,181,40.69062,-73.97354,NYC
144087,259.0,4,Entire home/apt,2.0,3.0,1.0,Manhattan,30,False,4.9,True,6.0,365,40.80687,-73.95333,NYC
146726,175.0,2,Entire home/apt,1.0,1.0,1.5,Manhattan,30,False,4.75,False,4.0,358,40.80392,-73.94765,NYC
148259,320.0,6,Entire home/apt,3.0,3.0,1.0,Brooklyn,30,False,4.9,False,3.0,334,40.71345,-73.94289,NYC
148825,122.0,3,Entire home/apt,2.0,2.0,1.0,Manhattan,31,False,4.75,False,4.0,312,40.79999,-73.96338,NYC
150804,513.0,2,Private room,2.0,2.0,2.0,Manhattan,4,False,4.99,True,1.0,310,40.7203,-73.98424,NYC
217580,121.0,2,Entire home/apt,1.0,2.0,1.0,Brooklyn,30,False,4.67,False,1.0,175,40.61933,-74.03208,NYC
218358,53.0,1,Private room,1.0,1.0,1.0,Manhattan,30,False,4.8,True,1.0,25,40.80592,-73.95172,NYC
